,CryoSleep,Age,VIP,Cabin_num,Cabin_side,Spendings,Cabin_deck_1,Cabin_deck_2,Cabin_deck_3,Cabin_deck_4,Cabin_deck_5,Cabin_deck_6,Cabin_deck_7,Cabin_deck_8,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_Unknown,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_Unknown,preds_xgb,preds_mlp
0,True,27,False,3,False,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,True,True
1,False,19,False,4,False,2832.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
2,True,31,False,0,False,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,True,True
3,False,38,False,1,False,7418.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,False,False
4,False,20,False,5,False,645.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
5,False,31,False,7,True,2051.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
6,True,21,False,2,True,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,True,True
7,True,20,False,0,False,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,True,True
8,True,23,False,0,False,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,True,True
9,False,24,False,7,False,639.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False,False
10,False,19,False,9,False,715.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
11,False,45,False,2,True,2023.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False,False
12,False,44,False,2,True,1799.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,False,False
13,True,46,False,0,True,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,True,False
14,False,21,False,4,True,1779.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,False,False
15,False,27,False,11,True,903.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
16,False,20,False,11,True,1414.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
17,True,44,False,0,False,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,True,True
18,False,40,False,0,False,5166.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,True,False
19,False,30,False,5,False,907.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,False,False
20,False,14,False,1,True,1609.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,False,False
21,True,31,False,4,True,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,True,True
22,False,27,False,4,True,8216.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,False
23,False,66,False,4,True,8055.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,False
24,False,24,False,5,True,1828.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,False,False
25,False,19,False,1,True,9601.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,False,False
26,True,36,False,2,True,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,True,False
27,False,21,False,12,True,634.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False
28,True,18,False,8,False,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,True,True
